Script started on 2024-04-23 14:46:30+08:00 [TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="95" LINES="24"]
App start.
Connected to MQTT broker.
14:47:10 []
14:47:10 []
14:47:10 []
14:47:11 []
14:47:11 []
14:47:11 []
14:47:11 []
14:47:11 []
14:47:11 []
14:47:11 []
14:47:11 []
14:47:11 []
14:47:11 []
14:47:11 []
14:47:12 []
14:47:12 []
14:47:12 []
14:47:12 []
14:47:12 []
14:47:12 []
14:47:12 []
14:47:12 []
14:47:12 []
14:47:12 []
14:47:12 []
14:47:13 []
14:47:13 []
14:47:13 []
14:47:13 []
14:47:13 []
14:47:13 []
14:47:13 []
14:47:13 []
14:47:13 []
14:47:13 []
14:47:13 []
14:47:14 []
14:47:14 []
14:47:14 []
14:47:14 []
14:47:14 []
14:47:14 []
14:47:14 []
14:47:14 []
14:47:14 []
14:47:14 []
14:47:14 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:15 []
14:47:16 []
14:47:16 []
14:47:16 []
14:47:16 []
14:47:16 []
14:47:16 []
14:47:16 []
14:47:16 []
14:47:16 []
14:47:16 []
14:47:16 []
14:47:17 []
14:47:17 []
14:47:17 []
14:47:17 []
14:47:17 []
14:47:17 []
14:47:17 []
14:47:17 []
14:47:17 []
14:47:17 []
14:47:17 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:18 []
14:47:19 []
14:47:19 []
14:47:19 []
14:47:19 []
14:47:19 []
14:47:19 []
14:47:19 []
14:47:19 []
14:47:19 []
14:47:19 []
14:47:19 []
14:47:20 []
14:47:20 []
14:47:20 []
14:47:20 []
14:47:20 []
14:47:20 []
14:47:20 []
14:47:20 []
14:47:20 []
14:47:20 []
14:47:21 []
14:47:21 []
14:47:21 []
14:47:21 []
14:47:21 []
14:47:21 []
14:47:21 []
14:47:21 []
14:47:21 []
14:47:21 []
14:47:21 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:22 []
14:47:23 []
14:47:23 []
14:47:23 []
14:47:23 []
14:47:23 []
14:47:23 []
14:47:23 []
14:47:23 []
14:47:23 []
14:47:23 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:24 []
14:47:25 []
14:47:25 []
14:47:25 []
14:47:25 []
14:47:25 []
14:47:25 []
14:47:25 []
14:47:25 []
14:47:25 []
14:47:25 []
14:47:25 []
14:47:26 []
14:47:26 []
14:47:26 []
14:47:26 []
14:47:26 []
14:47:26 []
14:47:26 []
14:47:26 [(-3229.46, -1386.99)]
14:47:26 [(-3216.73, -1380.63)]
14:47:26 [(-3211.78, -1372.85)]
14:47:26 [(-3214.61, -1362.24)]
14:47:27 [(-3213.55, -1349.87)]
14:47:27 [(-3215.31, -1333.96)]
